inventory_id,product_id,warehouse_id,inventory_date,opening_stock,received_quantity,sold_quantity,closing_stock,damaged_quantity
1,P0001,W01,2025-01-31,403,149,0,548,4
2,P0001,W02,2025-01-31,741,200,0,939,2
3,P0001,W03,2025-01-31,659,292,34,910,7
4,P0001,W04,2025-01-31,462,127,17,572,0
5,P0001,W05,2025-01-31,620,130,0,750,0
6,P0001,W06,2025-01-31,487,261,40,704,4
7,P0001,W07,2025-01-31,492,193,0,679,6
8,P0001,W08,2025-01-31,537,184,16,702,3
9,P0001,W09,2025-01-31,610,66,32,644,0
10,P0001,W10,2025-01-31,406,332,0,733,5
11,P0001,W11,2025-01-31,835,205,16,1020,4
12,P0001,W12,2025-01-31,314,105,0,419,0
13,P0001,W13,2025-01-31,496,267,9,744,10
14,P0001,W14,2025-01-31,391,229,0,618,2
15,P0001,W15,2025-01-31,641,162,29,771,3
16,P0002,W01,2025-01-31,76,72,7,141,0
17,P0002,W02,2025-01-31,112,40,1,151,0
18,P0002,W03,2025-01-31,103,23,8,118,0
19,P0002,W04,2025-01-31,100,50,6,144,0
20,P0002,W05,2025-01-31,59,75,8,126,0
21,P0002,W06,2025-01-31,138,19,8,149,0
22,P0002,W07,2025-01-31,138,39,11,165,1
23,P0002,W08,2025-01-31,87,72,0,159,0
24,P0002,W09,2025-01-31,148,48,3,192,1
25,P0002,W10,2025-01-31,141,64,1,204,0
26,P0002,W11,2025-01-31,132,13,3,142,0
27,P0002,W12,2025-01-31,139,46,9,176,0
28,P0002,W13,2025-01-31,178,37,7,207,1
29,P0002,W14,2025-01-31,66,78,5,137,2
30,P0002,W15,2025-01-31,100,64,7,157,0
31,P0003,W01,2025-01-31,218,145,11,350,2
32,P0003,W02,2025-01-31,257,198,0,454,1
33,P0003,W03,2025-01-31,396,170,7,555,4
34,P0003,W04,2025-01-31,392,189,22,555,4
35,P0003,W05,2025-01-31,273,165,0,435,3
36,P0003,W06,2025-01-31,354,122,0,472,4
37,P0003,W07,2025-01-31,495,130,27,593,5
38,P0003,W08,2025-01-31,443,184,23,602,2
39,P0003,W09,2025-01-31,599,112,16,692,3
40,P0003,W10,2025-01-31,330,128,0,457,1
41,P0003,W11,2025-01-31,369,232,13,584,4
42,P0003,W12,2025-01-31,328,160,12,472,4
43,P0003,W13,2025-01-31,401,101,18,481,3
44,P0003,W14,2025-01-31,407,129,27,507,2
45,P0003,W15,2025-01-31,472,257,6,710,13
46,P0004,W01,2025-01-31,126,64,6,184,0
47,P0004,W02,2025-01-31,53,8,0,61,0
48,P0004,W03,2025-01-31,104,50,3,527,1
49,P0004,W04,2025-01-31,163,38,6,195,0
50,P0004,W05,2025-01-31,87,41,9,119,0
51,P0004,W06,2025-01-31,146,44,4,185,1
52,P0004,W07,2025-01-31,105,33,0,138,0
53,P0004,W08,2025-01-31,113,77,7,181,2
54,P0004,W09,2025-01-31,102,0,3,99,0
55,P0004,W10,2025-01-31,116,21,3,134,0
56,P0004,W11,2025-01-31,129,23,9,142,1
57,P0004,W12,2025-01-31,117,39,0,156,0
58,P0004,W13,2025-01-31,141,66,0,207,0
59,P0004,W14,2025-01-31,156,53,0,207,2
60,P0004,W15,2025-01-31,105,78,5,175,3
61,P0005,W01,2025-01-31,161,0,4,157,0
62,P0005,W02,2025-01-31,104,117,7,211,3
63,P0005,W03,2025-01-31,204,126,0,326,4
64,P0005,W04,2025-01-31,192,83,8,266,1
65,P0005,W05,2025-01-31,224,88,4,306,2
66,P0005,W06,2025-01-31,252,60,4,308,0
67,P0005,W07,2025-01-31,222,64,0,283,3
68,P0005,W08,2025-01-31,170,144,8,305,1
69,P0005,W09,2025-01-31,158,48,0,202,4
70,P0005,W10,2025-01-31,113,163,3,271,2
71,P0005,W11,2025-01-31,178,146,18,306,0
72,P0005,W12,2025-01-31,188,80,10,254,4
73,P0005,W13,2025-01-31,228,127,0,355,0
74,P0005,W14,2025-01-31,108,0,13,95,0
75,P0005,W15,2025-01-31,162,141,0,299,4
76,P0006,W01,2025-01-31,195,217,0,410,2
77,P0006,W02,2025-01-31,44,0,8,36,0
78,P0006,W03,2025-01-31,447,8,4,451,0
79,P0006,W04,2025-01-31,282,211,6,484,3
80,P0006,W05,2025-01-31,171,228,11,1266,4
81,P0006,W06,2025-01-31,287,275,33,525,4
82,P0006,W07,2025-01-31,387,0,17,370,0
83,P0006,W08,2025-01-31,472,158,25,599,6
84,P0006,W09,2025-01-31,469,153,0,615,7
85,P0006,W10,2025-01-31,159,120,0,278,1
86,P0006,W11,2025-01-31,289,27,2,314,0
87,P0006,W12,2025-01-31,320,193,0,510,3
88,P0006,W13,2025-01-31,420,192,2,605,5
89,P0006,W14,2025-01-31,358,229,25,559,3
90,P0006,W15,2025-01-31,214,208,4,414,4
91,P0007,W01,2025-01-31,490,143,45,582,6
92,P0007,W02,2025-01-31,404,176,28,552,0
93,P0007,W03,2025-01-31,549,165,0,0,2
94,P0007,W04,2025-01-31,253,61,0,314,0
95,P0007,W05,2025-01-31,475,129,0,600,4
96,P0007,W06,2025-01-31,286,152,1,435,2
97,P0007,W07,2025-01-31,187,148,13,318,4
98,P0007,W08,2025-01-31,406,92,40,456,2
99,P0007,W09,2025-01-31,401,154,25,524,6
100,P0007,W10,2025-01-31,450,158,5,599,4
101,P0007,W11,2025-01-31,458,162,7,610,3
102,P0007,W12,2025-01-31,492,198,22,667,1
103,P0007,W13,2025-01-31,360,172,21,508,3
104,P0007,W14,2025-01-31,515,102,9,605,3
105,P0007,W15,2025-01-31,327,248,4,1785,4
106,P0008,W01,2025-01-31,302,75,0,374,3
107,P0008,W02,2025-01-31,372,186,13,545,0
108,P0008,W03,2025-01-31,304,141,16,429,0
109,P0008,W04,2025-01-31,347,149,0,495,1
110,P0008,W05,2025-01-31,441,354,4,781,10
111,P0008,W06,2025-01-31,458,219,9,667,1
112,P0008,W07,2025-01-31,210,135,19,324,2
113,P0008,W08,2025-01-31,410,121,30,497,4
114,P0008,W09,2025-01-31,262,202,13,450,1
115,P0008,W10,2025-01-31,328,159,18,467,2
116,P0008,W11,2025-01-31,359,248,23,577,7
117,P0008,W12,2025-01-31,230,127,3,353,1
118,P0008,W13,2025-01-31,356,73,20,409,0
119,P0008,W14,2025-01-31,300,54,24,330,0
120,P0008,W15,2025-01-31,357,196,4,548,1
121,P0009,W01,2025-01-31,132,50,0,181,1
122,P0009,W02,2025-01-31,168,35,1,198,4
123,P0009,W03,2025-01-31,146,68,10,749,1
124,P0009,W04,2025-01-31,108,81,6,181,2
125,P0009,W05,2025-01-31,151,45,0,196,0
126,P0009,W06,2025-01-31,135,61,11,182,3
127,P0009,W07,2025-01-31,120,26,6,140,0
128,P0009,W08,2025-01-31,154,62,8,207,1
129,P0009,W09,2025-01-31,244,77,3,318,0
130,P0009,W10,2025-01-31,96,77,9,164,0
131,P0009,W11,2025-01-31,138,50,0,187,1
132,P0009,W12,2025-01-31,161,69,8,221,1
133,P0009,W13,2025-01-31,72,64,4,132,0
134,P0009,W14,2025-01-31,182,42,11,211,2
135,P0009,W15,2025-01-31,113,31,4,140,0
136,P0010,W01,2025-01-31,180,61,1,238,2
137,P0010,W02,2025-01-31,150,73,0,223,0
138,P0010,W03,2025-01-31,124,62,0,184,2
139,P0010,W04,2025-01-31,78,32,4,106,0
140,P0010,W05,2025-01-31,53,77,0,128,2
141,P0010,W06,2025-01-31,53,103,7,785,2
142,P0010,W07,2025-01-31,135,138,5,265,3
143,P0010,W08,2025-01-31,102,43,3,141,1
144,P0010,W09,2025-01-31,66,29,15,78,2
145,P0010,W10,2025-01-31,177,6,8,175,0
146,P0010,W11,2025-01-31,44,74,13,101,4
147,P0010,W12,2025-01-31,124,84,0,208,0
148,P0010,W13,2025-01-31,150,66,8,207,1
149,P0010,W14,2025-01-31,209,41,3,247,0
150,P0010,W15,2025-01-31,102,0,0,102,0
151,P0011,W01,2025-01-31,398,250,10,636,2
152,P0011,W02,2025-01-31,738,453,12,0,7
153,P0011,W03,2025-01-31,406,461,17,849,1
154,P0011,W04,2025-01-31,347,341,62,619,7
155,P0011,W05,2025-01-31,643,203,69,772,5
156,P0011,W06,2025-01-31,824,187,23,985,3
157,P0011,W07,2025-01-31,685,98,43,2878,1
158,P0011,W08,2025-01-31,603,203,37,761,8
159,P0011,W09,2025-01-31,541,577,2,1103,13
160,P0011,W10,2025-01-31,298,253,0,544,7
161,P0011,W11,2025-01-31,724,71,0,793,2
162,P0011,W12,2025-01-31,504,225,20,707,2
163,P0011,W13,2025-01-31,833,24,40,817,0
164,P0011,W14,2025-01-31,532,320,13,829,10
165,P0011,W15,2025-01-31,558,479,23,1004,10
166,P0012,W01,2025-01-31,877,136,10,1003,0
167,P0012,W02,2025-01-31,485,191,17,657,2
168,P0012,W03,2025-01-31,765,122,44,841,2
169,P0012,W04,2025-01-31,723,244,36,925,6
170,P0012,W05,2025-01-31,996,281,58,1211,8
171,P0012,W06,2025-01-31,815,313,0,1123,5
172,P0012,W07,2025-01-31,255,252,24,481,2
173,P0012,W08,2025-01-31,1112,360,39,1426,7
174,P0012,W09,2025-01-31,463,328,0,784,7
175,P0012,W10,2025-01-31,670,329,47,949,3
176,P0012,W11,2025-01-31,709,681,17,2596,29
177,P0012,W12,2025-01-31,1095,380,22,1443,10
178,P0012,W13,2025-01-31,732,138,18,847,5
179,P0012,W14,2025-01-31,722,447,25,1137,7
180,P0012,W15,2025-01-31,830,74,8,895,1
181,P0013,W01,2025-01-31,643,234,34,834,9
182,P0013,W02,2025-01-31,614,232,10,836,0
183,P0013,W03,2025-01-31,323,140,7,455,1
184,P0013,W04,2025-01-31,361,136,0,496,1
185,P0013,W05,2025-01-31,625,50,11,664,0
186,P0013,W06,2025-01-31,897,0,40,857,0
187,P0013,W07,2025-01-31,338,369,10,690,7
188,P0013,W08,2025-01-31,561,180,0,738,3
189,P0013,W09,2025-01-31,628,404,3,1023,6
190,P0013,W10,2025-01-31,514,264,18,749,11
191,P0013,W11,2025-01-31,772,329,33,1057,11
192,P0013,W12,2025-01-31,567,258,13,811,1
193,P0013,W13,2025-01-31,879,226,11,1086,8
194,P0013,W14,2025-01-31,695,175,31,836,3
195,P0013,W15,2025-01-31,452,22,10,464,0
196,P0014,W01,2025-01-31,1054,253,42,1263,2
197,P0014,W02,2025-01-31,567,395,48,895,19
198,P0014,W03,2025-01-31,398,245,2,636,5
199,P0014,W04,2025-01-31,942,279,29,1189,3
200,P0014,W05,2025-01-31,745,111,7,848,1
201,P0014,W06,2025-01-31,1023,507,43,1475,12
202,P0014,W07,2025-01-31,1003,302,20,3179,3
203,P0014,W08,2025-01-31,616,402,30,987,1
204,P0014,W09,2025-01-31,465,56,35,485,1
205,P0014,W10,2025-01-31,696,638,30,1284,20
206,P0014,W11,2025-01-31,1092,218,24,1279,7
207,P0014,W12,2025-01-31,849,445,18,1264,12
208,P0014,W13,2025-01-31,903,191,21,1073,0
209,P0014,W14,2025-01-31,659,202,0,854,7
210,P0014,W15,2025-01-31,612,279,14,875,2
211,P0015,W01,2025-01-31,67,0,0,67,0
212,P0015,W02,2025-01-31,43,38,2,78,1
213,P0015,W03,2025-01-31,47,12,0,58,1
214,P0015,W04,2025-01-31,60,16,0,76,0
215,P0015,W05,2025-01-31,29,7,1,35,0
216,P0015,W06,2025-01-31,84,2,3,83,0
217,P0015,W07,2025-01-31,73,6,2,77,0
