order_id,order_date,product_id,warehouse_id,supplier_id,quantity,unit_price,order_status,shipping_method,promised_date,delivery_date
O000001,2025-01-01,P0306,W07,S012,4,207.62,Delivered,Express,2025-01-05,2025-01-03
O000002,2025-01-01,P0189,W02,S013,1,253.29,Delivered,Standard,2025-01-06,2025-01-04
O000003,2025-01-01,P0182,W06,S023,3,25.32,Delivered,Standard,2025-01-09,2025-01-09
O000004,2025-01-01,P0111,W14,S018,3,202.8,Delivered,Standard,2025-01-09,2025-01-08
O000005,2025-01-01,P0305,W09,S012,2,144.32,Returned,Standard,2025-01-08,2025-01-08
O000006,2025-01-01,P0240,W09,S033,2,269.59,Delivered,Standard,2025-01-09,2025-01-09
O000007,2025-01-01,P0076,W07,S040,2,303.86,Delivered,Standard,2025-01-05,2025-01-12
O000008,2025-01-01,P0388,W05,S020,2,149.71,Delivered,Standard,2025-01-07,2025-01-07
O000009,2025-01-01,P0377,W06,S032,2,174.67,Delivered,Express,2025-01-03,2025-01-02
O000010,2025-01-01,P0112,W11,S019,1,330.68,Delivered,Standard,2025-01-09,2025-01-16
O000011,2025-01-01,P0158,W14,S037,1,234.31,Delivered,Standard,2025-01-07,2025-01-07
O000012,2025-01-01,P0091,W06,S017,4,309.55,Delivered,Express,2025-01-03,2025-01-03
O000013,2025-01-01,P0235,W13,S026,2,250.51,Delivered,Standard,2025-01-06,2025-01-05
O000014,2025-01-01,P0359,W14,S020,1,66.29,Delivered,Express,2025-01-04,2025-01-04
O000015,2025-01-01,P0219,W14,S039,3,353.4,Delivered,Same Day,2025-01-02,2025-01-02
O000016,2025-01-01,P0024,W05,S018,2,357.3,Delivered,Express,2025-01-05,2025-01-04
O000017,2025-01-01,P0029,W07,S016,6,7.23,Delivered,Same Day,2025-01-02,2025-01-02
O000018,2025-01-01,P0001,W15,S003,1,79.08,Delivered,Standard,2025-01-07,2025-01-07
O000019,2025-01-01,P0250,W04,S021,2,354.95,Delivered,Same Day,2025-01-02,2025-01-06
O000020,2025-01-01,P0046,W09,S027,2,158.95,Delivered,Express,2025-01-05,2025-01-03
O000021,2025-01-01,P0034,W14,S017,3,284.6,Returned,Express,2025-01-03,2025-01-02
O000022,2025-01-01,P0366,W07,S015,3,177.92,Delivered,Standard,2025-01-09,2025-01-11
O000023,2025-01-01,P0001,W15,S031,4,79.08,Delivered,Standard,2025-01-06,2025-01-04
O000024,2025-01-01,P0140,W11,S005,1,21.08,Delivered,Standard,2025-01-06,2025-01-04
O000025,2025-01-01,P0232,W11,S006,3,153.59,Delivered,Standard,2025-01-08,2025-01-08
O000026,2025-01-01,P0374,W15,S024,1,8.78,Delivered,Same Day,2025-01-02,2025-01-02
O000027,2025-01-01,P0251,W08,S037,4,259.67,Delivered,Standard,2025-01-05,2025-01-03
O000028,2025-01-01,P0356,W09,S024,5,146.46,Delivered,Standard,2025-01-09,2025-01-07
O000029,2025-01-01,P0047,W04,S040,1,65.96,Delivered,Standard,2025-01-05,2025-01-11
O000030,2025-01-01,P0151,W07,S025,1,89.31,Delivered,Standard,2025-01-05,2025-01-04
O000031,2025-01-01,P0234,W11,S037,4,171.91,Delivered,Standard,2025-01-09,2025-01-14
O000032,2025-01-01,P0116,W11,S016,2,234.65,Delivered,Express,2025-01-05,2025-01-03
O000033,2025-01-01,P0143,W11,S004,1,155.11,Delivered,Standard,2025-01-05,2025-01-04
O000034,2025-01-01,P0159,W03,S007,1,335.54,Delivered,Standard,2025-01-06,2025-01-05
O000035,2025-01-01,P0179,W02,S036,5,84.97,Delivered,Express,2025-01-05,2025-01-05
O000036,2025-01-01,P0374,W05,S003,4,8.78,Delivered,Standard,2025-01-09,2025-01-08
O000037,2025-01-01,P0286,W11,S014,1,309.74,Delivered,Standard,2025-01-08,2025-01-09
O000038,2025-01-01,P0277,W06,S033,3,252.38,Delivered,Standard,2025-01-08,2025-01-07
O000039,2025-01-01,P0165,W11,S012,2,253.11,Delivered,Standard,2025-01-09,2025-01-09
O000040,2025-01-01,P0361,W01,S035,1,247.56,Cancelled,Standard,2025-01-08,
O000041,2025-01-01,P0247,W07,S006,7,120.55,Delivered,Standard,2025-01-06,2025-01-06
O000042,2025-01-01,P0278,W11,S009,1,213.57,Delivered,Express,2025-01-04,2025-01-02
O000043,2025-01-01,P0292,W10,S037,1,74.04,Delivered,Unknown,2025-01-09,2025-01-07
O000044,2025-01-01,P0387,W02,S034,2,25.79,Delivered,Standard,2025-01-09,2025-01-08
O000045,2025-01-01,P0393,W15,S037,2,111.91,Delivered,Standard,2025-01-08,2025-01-06
O000046,2025-01-01,P0189,W07,S003,3,253.29,Delivered,Standard,2025-01-06,2025-01-12
O000047,2025-01-01,P0252,W01,S015,2,151.75,Delivered,Standard,2025-01-06,2025-01-06
O000048,2025-01-01,P0244,W07,S004,4,178.54,Delivered,Standard,2025-01-09,2025-01-07
O000049,2025-01-01,P0215,W12,S036,1,26.78,Delivered,Express,2025-01-05,2025-01-05
O000050,2025-01-01,P0272,W05,S025,2,176.66,Delivered,Express,2025-01-04,2025-01-03
O000051,2025-01-01,P0178,W14,S020,1,47.95,Delivered,Express,2025-01-03,2025-01-03
O000052,2025-01-01,P0153,W15,S008,2,221.84,Delivered,Standard,2025-01-05,2025-01-05
O000053,2025-01-01,P0156,W04,S037,3,214.5,Delivered,Standard,2025-01-06,2025-01-05
O000054,2025-01-01,P0035,W06,S024,3,47.65,Delivered,Standard,2025-01-06,2025-01-05
O000055,2025-01-01,P0234,W15,S006,2,171.91,Delivered,Standard,2025-01-08,2025-01-07
O000056,2025-01-01,P0019,W11,S004,2,211.02,Delivered,Standard,2025-01-08,2025-01-12
O000057,2025-01-01,P0267,W09,S034,3,42.03,Delivered,Standard,2025-01-09,2025-01-09
O000058,2025-01-01,P0260,W08,S033,1,277.6,Delivered,Express,2025-01-05,2025-01-13
O000059,2025-01-01,P0174,W03,S036,4,235.9,Delivered,Express,2025-01-04,2025-01-04
O000060,2025-01-01,P0306,W13,S039,5,207.62,Delivered,Standard,2025-01-08,2025-01-08
O000061,2025-01-01,P0108,W14,S038,2,76.83,Delivered,Express,2025-01-03,2025-01-03
O000062,2025-01-01,P0182,W13,S024,1,25.32,Delivered,Standard,2025-01-06,2025-01-04
O000063,2025-01-01,P0092,W09,S040,1,182.49,Delivered,Same Day,2025-01-02,2025-01-02
O000064,2025-01-01,P0238,W06,S017,1,312.37,Delivered,Express,2025-01-03,2025-01-03
O000065,2025-01-01,P0047,W07,S028,4,65.96,Delivered,Express,2025-01-05,2025-01-03
O000066,2025-01-01,P0336,W10,S007,2,220.89,Delivered,Express,2025-01-05,2025-01-04
O000067,2025-01-01,P0122,W09,S019,4,157.12,Delivered,Same Day,2025-01-02,2025-01-02
O000068,2025-01-01,P0352,W15,S013,1,76.1,Delivered,Standard,2025-01-07,2025-01-05
O000069,2025-01-01,P0236,W01,S022,2,326.7,Delivered,Standard,2025-01-05,2025-01-05
O000070,2025-01-01,P0229,W02,S036,5,321.35,Delivered,Standard,2025-01-09,2025-01-09
