KPI,Value
Total Revenue,35527989.22
Total Cost,25227293.83
Gross Profit,10300695.39
Profit Margin,0.2899318429257281
Total Orders,74985.0
Delivered Orders,68208.0
Cancelled Orders,3634.0
Returned Orders,3143.0
On-Time Delivery %,0.8454541632212583
Average Delivery Days,4.854325797816428
Average Delay Days,0.6941738728258889
Total Inventory Value,10302038667.44
Stockout Rate,0.02461111111111111
Excess Stock Records,75542.0
Average Supplier Fulfillment,0.919211745125532
Average Supplier Defect Rate,0.06498339444269806
