month,orders,revenue,gross_profit
2025-01,4391,2055359.23,597114.9
2025-02,3791,1843575.56,537257.49
2025-03,4261,2022593.18,583060.09
2025-04,4174,1995917.09,578306.36
2025-05,4306,2000709.1199999999,580799.78
2025-06,4086,1935427.86,560797.51
2025-07,4253,1970475.94,571568.28
2025-08,4233,2003593.59,584826.6799999999
2025-09,4079,1907077.59,549910.11
2025-10,4192,2005515.07,580850.62
2025-11,4126,1945682.97,567203.27
2025-12,4162,1980467.75,574852.22
2026-01,4236,2047530.6,593896.09
2026-02,3927,1879787.15,542472.22
2026-03,4340,2027635.16,589537.6
2026-04,4103,1983133.46,570911.36
2026-05,4344,2047068.45,594901.65
2026-06,3981,1876439.45,542429.16
