product_id,product_name,category,total_orders,total_quantity,revenue,cost,gross_profit,profit_margin
P0001,Coffee Max 1,Grocery,226,691,54644.28,43871.590000000004,10772.689999999999,0.19714213454729387
P0002,Juice Smart 2,Grocery,185,546,7250.879999999999,5924.099999999999,1326.7799999999997,0.18298192771084335
P0003,Gym Bag Essential 3,Sports & Fitness,202,391,106164.31999999999,70325.26000000001,35839.05999999999,0.33758102533883316
P0004,Chair Max 4,Home & Kitchen,170,445,106835.6,90303.85,16531.750000000004,0.15474008663778743
P0005,Mixer Max 5,Home & Kitchen,182,466,31445.68,19292.399999999998,12153.280000000002,0.3864848844101957
P0006,Keyboard Plus 6,Electronics,182,599,73671.01,54910.33,18760.679999999993,0.2546548499878038
P0007,Power Bank Plus 7,Electronics,184,637,210503.02,155020.32,55482.699999999975,0.26357199055861513
P0008,Calculator Essential 8,Office Supplies,189,409,86998.39,72405.27,14593.12,0.16774011565041608
P0009,File Folder Essential 9,Office Supplies,153,334,98483.24,72484.68000000001,25998.56,0.2639896900223835
P0010,Green Tea Classic 10,Grocery,198,599,81266.32999999999,54359.25,26907.079999999994,0.33109751603154713
P0011,Juice Prime 11,Grocery,184,560,97854.40000000001,75560.8,22293.6,0.22782419594826597
P0012,Hair Dryer Essential 12,Personal Care,176,394,106872.5,67807.4,39065.100000000006,0.36552995391705073
P0013,Headphones Pro 13,Electronics,200,661,182594.64,133422.85,49171.79000000001,0.2692948161019404
P0014,Storage Box Elite 14,Home & Kitchen,192,507,82204.98,51065.04,31139.939999999995,0.37880843715307755
P0015,Storage Box Essential 15,Home & Kitchen,189,473,126787.65000000001,88455.73,38331.92000000001,0.3023316545420631
P0016,Gym Bag Smart 16,Sports & Fitness,185,415,63229.40000000001,38350.15,24879.250000000007,0.39347597794696776
P0017,Yoga Mat Pro 17,Sports & Fitness,189,397,107193.97,85628.93,21565.039999999997,0.20117773415799411
P0018,Juice Plus 18,Grocery,186,570,81595.5,55882.8,25712.7,0.3151239958085924
P0019,Gym Bag Pro 19,Sports & Fitness,210,434,91582.68000000001,74227.02,17355.660000000003,0.18950810349729885
P0020,T-Shirt Classic 20,Sports & Fitness,153,316,13363.64,9653.800000000001,3709.8399999999997,0.27760699929061244
P0021,Power Bank Prime 21,Electronics,174,554,87493.22,71133.6,16359.62,0.1869815741151143
P0022,Printer Paper Classic 22,Office Supplies,188,390,106973.1,74622.6,32350.500000000007,0.3024171497320355
P0023,Gym Bag Classic 23,Sports & Fitness,194,369,56257.740000000005,45641.61,10616.130000000003,0.18870523415977963
P0024,Notebook Essential 24,Office Supplies,196,392,140061.6,86189.04000000001,53872.560000000005,0.3846347607052897
P0025,Cooking Oil Plus 25,Grocery,168,467,163361.27,114209.52,49151.75,0.3008776192790372
P0026,Chair Prime 26,Home & Kitchen,205,535,58245.450000000004,36631.45,21614.000000000004,0.3710847800128594
P0027,Water Bottle Max 27,Home & Kitchen,160,401,60907.88999999999,40721.549999999996,20186.339999999997,0.33142405688327076
P0028,Face Wash Essential 28,Personal Care,164,386,30235.38,22581.0,7654.38,0.253159708923784
P0029,Gym Bag Essential 29,Sports & Fitness,187,392,2834.1600000000003,1873.76,960.4000000000001,0.338865836791148
P0030,Cookware Set Classic 30,Home & Kitchen,192,505,13372.4,10352.5,3019.9,0.2258308157099698
P0031,Body Lotion Prime 31,Personal Care,177,396,114725.15999999999,71941.31999999999,42783.84,0.37292464878671777
P0032,Sunscreen Elite 32,Personal Care,208,456,117196.56,92317.2,24879.360000000004,0.21228745963192097
P0033,Cereal Smart 33,Grocery,186,550,91190.0,57497.0,33693.0,0.36948130277442703
P0034,Coffee Smart 34,Grocery,202,598,170190.80000000002,109356.26000000001,60834.54000000001,0.35744905130007026
P0035,Storage Box Elite 35,Home & Kitchen,208,547,26064.55,20583.61,5480.939999999997,0.21028331584470084
P0036,Desk Lamp Plus 36,Home & Kitchen,172,461,11787.77,7145.5,4642.27,0.3938208838482597
P0037,Headphones Essential 37,Electronics,169,540,33523.2,23803.2,9720.0,0.28994845360824745
P0038,Shampoo Smart 38,Personal Care,169,372,1789.32,1313.1599999999999,476.1599999999999,0.26611226611226607
P0039,Trimmer Elite 39,Personal Care,179,391,21270.399999999998,16120.929999999998,5149.47,0.24209558823529415
P0040,Skipping Rope Classic 40,Sports & Fitness,205,407,10134.3,6967.84,3166.459999999999,0.31244979919678706
P0041,Yoga Mat Plus 41,Sports & Fitness,196,410,106001.40000000001,87444.8,18556.60000000001,0.17505995203836938
P0042,Biscuits Plus 42,Grocery,181,554,188941.7,130505.78,58435.92000000001,0.3092801641987979
P0043,Gym Bag Plus 43,Sports & Fitness,219,445,68957.2,47414.75,21542.450000000004,0.3124032008260197
P0044,Printer Paper Classic 44,Office Supplies,186,432,36564.48,26766.72,9797.76,0.2679584120982987
P0045,Biscuits Classic 45,Grocery,205,631,237603.05000000002,146688.57,90914.48000000001,0.3826317886070907
P0046,Face Wash Essential 46,Personal Care,185,419,66600.05,53611.05,12988.999999999995,0.1950298836111984
P0047,USB Hub Max 47,Electronics,178,561,37003.56,23539.56,13463.999999999996,0.36385688295936924
P0048,Stapler Max 48,Office Supplies,188,382,109427.71999999999,89059.48,20368.239999999994,0.18613418976471408
P0049,Cookware Set Plus 49,Home & Kitchen,217,541,126350.55,100831.58,25518.970000000012,0.20196959965746103
P0050,Skipping Rope Classic 50,Sports & Fitness,185,392,30877.84,20889.68,9988.16,0.3234734035800432
P0051,Running Shoes Pro 51,Sports & Fitness,202,424,15085.919999999998,10939.2,4146.719999999998,0.27487352445193924
P0052,USB Hub Prime 52,Electronics,192,602,125805.95999999999,96542.74,29263.219999999987,0.23260599100392373
P0053,Body Lotion Pro 53,Personal Care,212,533,26516.75,16325.789999999999,10190.960000000001,0.38432160804020105
P0054,Air Fryer Classic 54,Home & Kitchen,173,467,85713.18,68592.95999999999,17120.22,0.1997384766263485
P0055,USB Hub Pro 55,Electronics,165,535,153946.25,120391.05,33555.2,0.21796698523023456
P0056,Cereal Smart 56,Grocery,183,537,200392.29,130780.98,69611.31000000001,0.34737519093174696
P0057,Desk Lamp Pro 57,Home & Kitchen,186,448,34213.76,21190.399999999998,13023.360000000004,0.3806468508576667
P0058,Moisturizer Prime 58,Personal Care,173,416,101112.96,82151.68,18961.280000000006,0.18752571381551886
P0059,Bluetooth Speaker Essential 59,Electronics,213,681,194650.22999999998,139400.69999999998,55249.530000000006,0.2838400447818634
P0060,Cookware Set Essential 60,Home & Kitchen,185,463,61560.48,46957.46,14603.020000000002,0.23721419975932614
P0061,Stapler Smart 61,Office Supplies,162,382,102884.06,65260.88,37623.17999999999,0.3656852188764712
P0062,USB Hub Prime 62,Electronics,176,566,136089.04,82868.06,53220.979999999996,0.3910746963899517
P0063,USB Hub Classic 63,Electronics,183,611,111189.78,67692.69,43497.08999999999,0.3911968348170128
P0064,Moisturizer Pro 64,Personal Care,190,462,97140.12,82268.34,14871.779999999997,0.15309616665081324
P0065,Running Shoes Smart 65,Sports & Fitness,208,433,13102.58,8781.24,4321.34,0.3298083278255122
P0066,Skipping Rope Plus 66,Sports & Fitness,179,342,81683.28,61826.76,19856.52,0.243091609445654
P0067,Cereal Smart 67,Grocery,175,541,136548.4,94788.61,41759.79,0.30582408874801903
P0068,Hair Dryer Prime 68,Personal Care,170,365,74773.90000000001,56585.950000000004,18187.950000000004,0.24323928536561557
P0069,USB Hub Essential 69,Electronics,185,625,99118.75,68237.5,30881.249999999996,0.31155810580742793
P0070,Desk Organizer Elite 70,Office Supplies,181,369,89028.63,62685.72,26342.910000000007,0.29589256849173134
P0071,Rice Plus 71,Grocery,203,578,63042.45999999999,42251.799999999996,20790.659999999996,0.329788209406803
P0072,File Folder Essential 72,Office Supplies,187,425,92433.25,71901.5,20531.75,0.22212515517954848
P0073,Cookware Set Essential 73,Home & Kitchen,162,430,155230.0,105792.90000000001,49437.1,0.3184764542936288
P0074,Keyboard Essential 74,Electronics,207,724,177720.28,130631.32,47088.95999999999,0.264961095042164
P0075,Water Bottle Pro 75,Home & Kitchen,173,483,171030.30000000002,107945.67,63084.63000000001,0.36885060717311496
P0076,Bluetooth Speaker Prime 76,Electronics,176,615,186873.90000000002,123996.3,62877.600000000006,0.33647074310537745
P0077,Headphones Plus 77,Electronics,150,493,88828.74,57064.75,31763.99,0.3575868575868576
P0078,T-Shirt Elite 78,Sports & Fitness,173,353,82700.84,54478.490000000005,28222.35,0.34125832337374085
P0079,Shampoo Elite 79,Personal Care,191,403,70549.18000000001,46010.51,24538.670000000002,0.3478236033359991
P0080,Cooking Oil Elite 80,Grocery,176,537,110933.46,84743.97,26189.490000000005,0.2360828734630652
P0081,Green Tea Max 81,Grocery,201,655,90062.5,56297.25,33765.25,0.3749090909090909
P0082,Storage Box Smart 82,Home & Kitchen,170,445,117350.94999999998,77612.45,39738.49999999999,0.33862955519320465
P0083,Moisturizer Elite 83,Personal Care,190,428,57780.0,45239.6,12540.399999999998,0.217037037037037
P0084,Sunscreen Smart 84,Personal Care,181,419,82161.71,50619.39,31542.32,0.3839053495843745
P0085,Body Lotion Essential 85,Personal Care,196,434,70173.45999999999,53638.06,16535.399999999998,0.23563609375966355
P0086,USB Hub Smart 86,Electronics,187,599,171583.55,108940.13,62643.41999999999,0.3650898935241752
P0087,Fitness Band Pro 87,Sports & Fitness,178,372,12201.599999999999,8831.279999999999,3370.3199999999997,0.276219512195122
P0088,Face Wash Max 88,Personal Care,205,451,55766.15,43584.64,12181.510000000002,0.21843914274160942
P0089,Pen Set Smart 89,Office Supplies,175,396,31513.68,25862.760000000002,5650.919999999999,0.17931641115858252
P0090,Cereal Essential 90,Grocery,203,634,160465.4,103716.06,56749.34,0.3536546819438957
P0091,Bluetooth Speaker Essential 91,Electronics,190,653,202136.15000000002,137319.37,64816.780000000006,0.32065902115974804
P0092,Water Bottle Plus 92,Home & Kitchen,180,472,86135.28,67165.6,18969.68,0.22023124554770124
P0093,Printer Paper Plus 93,Office Supplies,172,350,85837.5,68288.5,17548.999999999996,0.2044444444444444
P0094,USB Hub Smart 94,Electronics,181,648,99195.84000000001,65428.56,33767.280000000006,0.3404102430101908
P0095,Yoga Mat Max 95,Sports & Fitness,178,351,109329.48000000001,74770.02,34559.46,0.316103762681392
P0096,Running Shoes Smart 96,Sports & Fitness,190,351,70810.74,58406.4,12404.34,0.17517596906909882
P0097,File Folder Smart 97,Office Supplies,178,369,93523.04999999999,76058.28,17464.769999999993,0.18674294732688887
P0098,Rice Prime 98,Grocery,210,655,110439.55,72423.34999999999,38016.20000000001,0.34422632109602047
P0099,Desk Organizer Smart 99,Office Supplies,166,366,110473.43999999999,75747.36,34726.079999999994,0.3143387225019878
P0100,Mixer Elite 100,Home & Kitchen,179,476,42087.92,30097.48,11990.440000000002,0.2848902963130514
P0101,Cereal Pro 101,Grocery,182,567,94524.57,70926.03,23598.54,0.24965508967668407
P0102,Air Fryer Max 102,Home & Kitchen,181,490,67987.5,42659.4,25328.1,0.37254054054054053
P0103,Calculator Essential 103,Office Supplies,201,423,15511.41,10215.449999999999,5295.960000000002,0.3414235069539134
P0104,Skipping Rope Elite 104,Sports & Fitness,192,414,94926.06,67291.56,27634.5,0.29111605390553447
P0105,USB Hub Essential 105,Electronics,207,667,88831.06000000001,68627.63,20203.430000000004,0.2274365520348401
P0106,Fitness Band Classic 106,Sports & Fitness,179,374,61882.04,40429.399999999994,21452.640000000007,0.34666989000362636
P0107,Pen Set Max 107,Office Supplies,179,375,30191.250000000004,24412.499999999996,5778.750000000005,0.19140479443547398
P0108,Stapler Prime 108,Office Supplies,171,364,27966.12,18312.84,9653.279999999999,0.34517766497461927
P0109,Coffee Essential 109,Grocery,162,491,50474.799999999996,37399.47,13075.329999999998,0.25904669260700386
P0110,USB Hub Pro 110,Electronics,199,641,224914.08,156179.65,68734.43,0.3056030551755586
P0111,Cookware Set Pro 111,Home & Kitchen,197,517,104847.6,74856.43,29991.17000000001,0.2860453648915188
P0112,Notebook Max 112,Office Supplies,177,364,120367.52,85700.16,34667.36,0.28801258013789766
P0113,Keyboard Plus 113,Electronics,179,615,134475.9,89494.8,44981.09999999999,0.3344919052410134
P0114,Cookware Set Essential 114,Home & Kitchen,169,424,21055.84,13678.24,7377.599999999999,0.3503826016915022
P0115,T-Shirt Smart 115,Sports & Fitness,177,358,56789.54,40912.24,15877.299999999997,0.27958141587341606
P0116,Running Shoes Pro 116,Sports & Fitness,176,362,84943.3,55595.96000000001,29347.34,0.34549328787555933
P0117,Mixer Plus 117,Home & Kitchen,199,530,27946.899999999998,22148.7,5798.199999999999,0.20747202730893227
P0118,Desk Lamp Elite 118,Home & Kitchen,183,452,109713.95999999999,78318.04000000001,31395.919999999987,0.28616157870885334
P0119,Water Bottle Max 119,Home & Kitchen,173,441,108543.33,77898.23999999999,30645.090000000004,0.2823304757648398
P0120,Air Fryer Essential 120,Home & Kitchen,194,510,79101.0,55085.100000000006,24015.89999999999,0.30361057382333967
P0121,Air Fryer Prime 121,Home & Kitchen,170,401,10409.960000000001,8276.64,2133.3199999999997,0.20493066255778117
P0122,Fitness Band Plus 122,Sports & Fitness,210,420,65990.40000000001,49883.4,16107.000000000004,0.2440809572301426
P0123,Desk Organizer Plus 123,Office Supplies,181,412,99230.2,62096.64,37133.56,0.37421631720988163
P0124,Notebook Plus 124,Office Supplies,203,444,39573.72,26435.76,13137.959999999997,0.33198698530236725
P0125,T-Shirt Max 125,Sports & Fitness,196,392,87655.12000000001,56969.36,30685.760000000002,0.3500737891865301
P0126,Moisturizer Prime 126,Personal Care,177,414,142904.52,103189.5,39715.020000000004,0.2779129729416537
P0127,Trimmer Classic 127,Personal Care,184,423,58471.28999999999,43932.78,14538.509999999997,0.24864356507270488
P0128,Desk Lamp Elite 128,Home & Kitchen,170,473,56996.5,35091.869999999995,21904.63,0.38431535269709544
P0129,Fitness Band Plus 129,Sports & Fitness,195,410,44062.7,33082.9,10979.8,0.24918581929840886
P0130,Hair Dryer Elite 130,Personal Care,186,464,61828.0,48752.479999999996,13075.520000000004,0.2114821763602252
P0131,Skipping Rope Elite 131,Sports & Fitness,190,408,99266.40000000001,77813.76,21452.640000000007,0.2161117961364571
P0132,Desk Lamp Elite 132,Home & Kitchen,191,477,25767.54,15736.230000000001,10031.310000000001,0.3893002591632729
P0133,Mixer Pro 133,Home & Kitchen,184,494,84281.34000000001,68868.54,15412.800000000008,0.18287321962370326
P0134,Wireless Mouse Prime 134,Electronics,193,626,119735.02,78938.59999999999,40796.42000000001,0.34072253881946996
P0135,Biscuits Elite 135,Grocery,194,560,177699.19999999998,137267.2,40431.99999999999,0.22753056851128198
P0136,Storage Box Prime 136,Home & Kitchen,184,527,149383.41999999998,114048.06999999999,35335.34999999999,0.23654131094334294
P0137,Sunscreen Max 137,Personal Care,195,445,120167.80000000002,91527.6,28640.200000000008,0.2383350614723745
P0138,T-Shirt Prime 138,Sports & Fitness,199,402,64114.98,45546.6,18568.380000000005,0.2896106338955421
P0139,Fitness Band Classic 139,Sports & Fitness,197,396,141526.44,86244.84,55281.6,0.39060969808892243
P0140,Dumbbells Smart 140,Sports & Fitness,177,341,7188.28,4698.98,2489.2999999999997,0.3462998102466793
P0141,Hair Dryer Prime 141,Personal Care,198,480,72043.2,60168.0,11875.200000000004,0.16483443267372916
P0142,T-Shirt Plus 142,Sports & Fitness,182,369,112043.15999999999,80785.17,31257.989999999994,0.27898168884204977
P0143,Hair Dryer Prime 143,Personal Care,189,432,67007.52,45040.32,21967.2,0.3278318612597511
P0144,Headphones Max 144,Electronics,172,590,76941.9,51105.8,25836.099999999995,0.33578713288858214
P0145,Headphones Smart 145,Electronics,184,625,219962.5,149168.75,70793.75,0.32184463260783086
P0146,Body Lotion Plus 146,Personal Care,181,399,36544.41,24335.010000000002,12209.4,0.33409760890926954
P0147,Desk Lamp Plus 147,Home & Kitchen,192,496,142986.87999999998,94641.76000000001,48345.11999999998,0.33810878312751486
P0148,Hair Dryer Max 148,Personal Care,196,444,120657.0,100410.6,20246.399999999998,0.16780128794848204
P0149,USB Hub Classic 149,Electronics,194,628,88937.36,68690.64,20246.720000000005,0.22765146165795797
P0150,Dumbbells Prime 150,Sports & Fitness,199,404,14455.12,9094.04,5361.08,0.37087758524315256
P0151,Biscuits Prime 151,Grocery,206,625,55818.75,37718.75,18100.0,0.324263800246333
P0152,File Folder Elite 152,Office Supplies,199,415,140294.9,93624.0,46670.90000000001,0.33266284091581383
P0153,USB Hub Max 153,Electronics,183,579,128445.36,93114.78,35330.58000000001,0.2750631085467004
P0154,Shampoo Smart 154,Personal Care,183,438,115176.48,93631.26000000001,21545.219999999983,0.18706267112868863
P0155,Gym Bag Max 155,Sports & Fitness,172,339,110954.70000000001,84136.41,26818.290000000008,0.24170485792850602
P0156,Cereal Pro 156,Grocery,207,605,129772.5,86381.90000000001,43390.6,0.3343589743589743
P0157,Headphones Max 157,Electronics,175,570,142893.3,110927.70000000001,31965.59999999999,0.22370258087678005
P0158,Stapler Essential 158,Office Supplies,200,443,103799.33,69267.48000000001,34531.85,0.3326789296231488
P0159,Rice Plus 159,Grocery,197,602,201995.08000000002,136136.28,65858.80000000003,0.32604160457769576
P0160,Body Lotion Classic 160,Personal Care,179,426,95756.28,78337.14,17419.140000000007,0.18191120206424066
P0161,Printer Paper Essential 161,Office Supplies,177,344,17574.960000000003,12260.16,5314.800000000001,0.3024075161479742
P0162,T-Shirt Prime 162,Sports & Fitness,189,378,39387.6,25125.66,14261.940000000002,0.36209213051823425
P0163,File Folder Plus 163,Office Supplies,194,397,57263.280000000006,47115.96000000001,10147.32,0.17720465890183026
P0164,Air Fryer Classic 164,Home & Kitchen,201,526,18173.3,13307.800000000001,4865.499999999998,0.2677279305354558
P0165,Fitness Band Classic 165,Sports & Fitness,193,398,100737.78,67337.62,33400.16,0.33155545019951804
P0166,Face Wash Essential 166,Personal Care,194,403,70819.19,48138.35,22680.839999999993,0.32026404142718934
P0167,Stapler Plus 167,Office Supplies,192,383,85650.29,61257.02,24393.27,0.28480078701426464
P0168,Notebook Prime 168,Office Supplies,207,437,7429.0,6205.4,1223.6000000000004,0.16470588235294123
P0169,Bluetooth Speaker Prime 169,Electronics,175,586,78570.88,58014.0,20556.880000000005,0.2616348448687351
P0170,Juice Prime 170,Grocery,198,587,193621.95,130137.9,63484.050000000025,0.3278763074124603
P0171,Moisturizer Pro 171,Personal Care,208,464,103216.79999999999,80504.0,22712.799999999992,0.22004944931445264
P0172,Cookware Set Classic 172,Home & Kitchen,185,478,107745.98,65715.43999999999,42030.54000000001,0.3900891708442395
P0173,USB Hub Essential 173,Electronics,199,673,264987.02,162966.95,102020.07,0.3850002539747041
P0174,Hair Dryer Essential 174,Personal Care,222,497,117242.3,80265.5,36976.8,0.31538787621873676
P0175,Bluetooth Speaker Prime 175,Electronics,201,699,176113.05,137968.62,38144.42999999999,0.2165905933717007
P0176,Gym Bag Essential 176,Sports & Fitness,173,361,94881.62999999999,73579.02,21302.609999999997,0.22451774911539776
P0177,Mixer Prime 177,Home & Kitchen,192,486,172073.16,120003.12,52070.04000000001,0.3026040784047902
P0178,Water Bottle Pro 178,Home & Kitchen,184,517,24790.15,18384.52,6405.630000000001,0.25839416058394166
P0179,Cookware Set Prime 179,Home & Kitchen,180,460,39086.2,31533.0,7553.200000000002,0.19324467459103217
P0180,Skipping Rope Plus 180,Sports & Fitness,181,356,66376.2,42944.28,23431.919999999995,0.3530168946098149
